miljostasjon-0 (Ulven)
miljostasjon-2 (Oppsal)
miljostasjon-3 (Vollebekk)
miljostasjon-4 (Sogn)
miljostasjon-5 (Smedstua)
miljostasjon-6 (SiO Kringsjå)
miljostasjon-7 (Myrer)
miljostasjon-8 (Bogstad)
miljostasjon-9 (Nedre Haugen)
miljostasjon-10 (-)
miljostasjon-11 (Mosseveien)
miljostasjon-12 (Kalbakken)
miljostasjon-13 (Skjønhaug)
miljostasjon-14 (Lindebergskogen)
miljostasjon-15 (Frognerstranda)
miljostasjon-16 (Bygdøy)
miljostasjon-17 (Høybråten)
miljostasjon-18 (Lindebergåsen)
miljostasjon-19 (Munkerud)
miljostasjon-20 (Lilleaker)
miljostasjon-21 (-)
miljostasjon-22 (Tveita)
miljostasjon-23 (-)
miljostasjon-24 (Munkerud Ny)
miljostasjon-25 (Keyserløkka)
miljostasjon-26 (-)
miljostasjon-27 (Lambertseter)
miljostasjon-28 (Lindebergåsen)
miljostasjon-29 (-)
miljostasjon-30 (-)
miljostasjon-31 (-)
miljostasjon-32 (-)
miljostasjon-33 (-)
miljostasjon-34 (-)
miljostasjon-35 (-)
miljostasjon-36 (-)
miljostasjon-37 (Skøyenåsen)
